#,Country,Population,Density (P/km2),Land Area (km2),Medium age,Urban population
139,Qatar,2881053,248,11610,32,96 %
140,Albania,2877797,105,27400,36,63 %
141,Puerto Rico,2860853,323,8870,44,N.A.
142,Lithuania,2722289,43,62674,45,71 %
143,Namibia,2540905,3,823290,22,55 %
144,Gambia,2416668,239,10120,18,59 %
145,Botswana,2351627,4,566730,24,73 %
146,Gabon,2225734,9,257670,23,87 %
147,Lesotho,2142249,71,30360,24,31 %
148,North Macedonia,2083374,83,25220,39,59 %
149,Slovenia,2078938,103,20140,45,55 %
150,Guinea-Bissau,1968001,70,28120,19,45 %
151,Latvia,1886198,30,62200,44,69 %
152,Bahrain,1701575,2239,760,32,89 %
153,Equatorial Guinea,1402985,50,28050,22,73 %
154,Trinidad and Tobago,1399488,273,5130,36,52 %
155,Estonia,1326535,31,42390,42,68 %
156,Timor-Leste,1318445,89,14870,21,33 %
157,Mauritius,1271768,626,2030,37,41 %
158,Cyprus,1207359,131,9240,37,67 %
159,Eswatini,1160164,67,17200,21,30 %
160,Djibouti,988000,43,23180,27,79 %
161,Fiji,896445,49,18270,28,59 %
162,Réunion,895312,358,2500,36,100 %
163,Comoros,869601,467,1861,20,29 %
164,Guyana,786552,4,196850,27,27 %
165,Bhutan,771608,20,38117,28,46 %
166,Solomon Islands,686884,25,27990,20,23 %
167,Macao,649335,21645,30,39,N.A.
168,Montenegro,628066,47,13450,39,68 %
169,Luxembourg,625978,242,2590,40,88 %
170,Western Sahara,597339,2,266000,28,87 %
171,Suriname,586632,4,156000,29,65 %
172,Cabo Verde,555987,138,4030,28,68 %
173,Maldives,540544,1802,300,30,35 %
174,Malta,441543,1380,320,43,93 %
175,Brunei,437479,83,5270,32,80 %
176,Guadeloupe,400124,237,1690,44,N.A.
177,Belize,397628,17,22810,25,46 %
178,Bahamas,393244,39,10010,32,86 %
179,Martinique,375265,354,1060,47,92 %
180,Iceland,341243,3,100250,37,94 %
181,Vanuatu,307145,25,12190,21,24 %
182,French Guiana,298682,4,82200,25,87 %
183,Barbados,287375,668,430,40,31 %
184,New Caledonia,285498,16,18280,34,72 %
185,French Polynesia,280908,77,3660,34,64 %
186,Mayotte,272815,728,375,20,46 %
187,Sao Tome & Principe,219159,228,960,19,74 %
188,Samoa,198414,70,2830,22,18 %
189,Saint Lucia,183627,301,610,34,19 %
190,Channel Islands,173863,915,190,43,30 %
191,Guam,168775,313,540,31,95 %
192,Curaçao,164093,370,444,42,89 %
193,Kiribati,119449,147,810,23,57 %
194,Micronesia,115023,164,700,24,21 %
195,Grenada,112523,331,340,32,35 %
196,St. Vincent & Grenadines,110940,284,390,33,53 %
197,Aruba,106766,593,180,41,44 %
198,Tonga,105695,147,720,22,24 %
199,U.S. Virgin Islands,104425,298,350,43,96 %
200,Seychelles,98347,214,460,34,56 %
201,Antigua and Barbuda,97929,223,440,34,26 %
202,Isle of Man,85033,149,570,N.A.,53 %
203,Andorra,77265,164,470,N.A.,88 %
204,Dominica,71986,96,750,N.A.,74 %
205,Cayman Islands,65722,274,240,N.A.,97 %
206,Bermuda,62278,1246,50,N.A.,97 %
207,Marshall Islands,59190,329,180,N.A.,70 %
208,Northern Mariana Islands,57559,125,460,N.A.,88 %
209,Greenland,56770,0,410450,N.A.,87 %
210,American Samoa,55191,276,200,N.A.,88 %
211,Saint Kitts & Nevis,53199,205,260,N.A.,33 %
212,Faeroe Islands,48863,35,1396,N.A.,43 %
213,Sint Maarten,42876,1261,34,N.A.,96 %
214,Monaco,39242,26337,1,N.A.,N.A.
215,Turks and Caicos,38717,41,950,N.A.,89 %
216,Saint Martin,38666,730,53,N.A.,0 %
217,Liechtenstein,38128,238,160,N.A.,15 %
218,San Marino,33931,566,60,N.A.,97 %
219,Gibraltar,33691,3369,10,N.A.,N.A.
220,British Virgin Islands,30231,202,150,N.A.,52 %
221,Caribbean Netherlands,26223,80,328,N.A.,75 %
222,Palau,18094,39,460,N.A.,N.A.
