,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
2493,MLS Listing,Single Family Residential,Portland,OR,97229.0,699900.0,4.0,3.0,THOMPSON WOODS - ARBOR,2618.0,6969.0,2018.0,74.0,267.0,83.0,Active,RMLS,18156948,45.56825938154503,-122.78622161845496,"{'spatialReference': {'wkid': 4326}, 'x': -122.78622161845496, 'y': 45.56825938154503}"
2494,MLS Listing,Single Family Residential,Portland,OR,97239.0,699900.0,4.0,2.5,Hillsdale,2911.0,4791.0,2009.0,9.0,240.0,0.0,Active,RMLS,18409009,45.46217298732275,-122.72883681267724,"{'spatialReference': {'wkid': 4326}, 'x': -122.72883681267724, 'y': 45.46217298732275}"
2497,MLS Listing,Single Family Residential,Portland,OR,97229.0,699950.0,5.0,3.0,HIGHLANDS AT NORTH BETHANY,2719.0,6969.0,2018.0,34.0,257.0,74.0,Active,RMLS,18491281,45.605682790326185,-122.81836320967382,"{'spatialReference': {'wkid': 4326}, 'x': -122.81836320967382, 'y': 45.605682790326185}"
2498,New Construction Home,Single Family Residential,Portland,OR,97229.0,699950.0,4.0,3.0,Highlands at North Bethany,2706.0,6969.0,2018.0,155.0,259.0,0.0,Active,NewHomeFeed,632347,45.57533185880216,-122.85032877926984,"{'spatialReference': {'wkid': 4326}, 'x': -122.85032877926984, 'y': 45.57533185880216}"
2500,MLS Listing,Single Family Residential,Portland,OR,97229.0,699988.0,4.0,3.0,THOMPSON WOODS - WHH,2557.0,6969.0,2018.0,89.0,274.0,83.0,Active,RMLS,18638831,45.565968912389785,-122.7889180876102,"{'spatialReference': {'wkid': 4326}, 'x': -122.7889180876102, 'y': 45.565968912389785}"
2502,MLS Listing,Single Family Residential,Portland,OR,97229.0,699995.0,4.0,3.5,CEDAR RIDGE,3038.0,4791.0,2018.0,188.0,230.0,79.0,Active,RMLS,18423090,45.52552357321201,-122.799832626788,"{'spatialReference': {'wkid': 4326}, 'x': -122.799832626788, 'y': 45.52552357321201}"
2503,MLS Listing,Single Family Residential,Portland,OR,97219.0,699999.0,4.0,3.5,"Portland West, Raleigh Hills",2709.0,4356.0,2016.0,9.0,258.0,0.0,Active,RMLS,18076378,45.45986789910496,-122.68949510089504,"{'spatialReference': {'wkid': 4326}, 'x': -122.68949510089504, 'y': 45.45986789910496}"
2509,MLS Listing,Single Family Residential,Portland,OR,97231.0,700000.0,3.0,3.5,SKYLINE / FOREST PARK,2940.0,42688.0,2010.0,35.0,238.0,29.0,Active,RMLS,18277192,45.614899274313714,-122.8092789256863,"{'spatialReference': {'wkid': 4326}, 'x': -122.8092789256863, 'y': 45.614899274313714}"
3367,MLS Listing,Single Family Residential,Gresham,OR,97080.0,399900.0,5.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2455.0,4791.0,2008.0,1.0,163.0,0.0,Active,RMLS,18492677,45.48253818920197,-122.44442521079804,"{'spatialReference': {'wkid': 4326}, 'x': -122.44442521079804, 'y': 45.48253818920197}"
3376,MLS Listing,Single Family Residential,Gresham,OR,97080.0,425000.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2590.0,5227.0,2008.0,1.0,164.0,33.0,Active,RMLS,18299358,45.478065457723645,-122.37054624227638,"{'spatialReference': {'wkid': 4326}, 'x': -122.37054624227638, 'y': 45.478065457723645}"
3377,MLS Listing,Single Family Residential,Gresham,OR,97080.0,674934.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2550.0,47044.0,2018.0,1.0,265.0,0.0,Active,RMLS,18404327,45.50242011962918,-122.33464288037082,"{'spatialReference': {'wkid': 4326}, 'x': -122.33464288037082, 'y': 45.50242011962918}"
3378,MLS Listing,Single Family Residential,Gresham,OR,97080.0,699934.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2625.0,56192.0,2019.0,1.0,267.0,0.0,Active,RMLS,18316280,45.49544431255172,-122.34042668744829,"{'spatialReference': {'wkid': 4326}, 'x': -122.34042668744829, 'y': 45.49544431255172}"
3380,MLS Listing,Single Family Residential,Gresham,OR,97080.0,484500.0,6.0,3.0,"Gresham, Sandy, Troutdale, Corbett",3390.0,5227.0,2006.0,1.0,143.0,16.0,Active,RMLS,18495278,45.48106791733098,-122.44332868266902,"{'spatialReference': {'wkid': 4326}, 'x': -122.44332868266902, 'y': 45.48106791733098}"
3381,MLS Listing,Single Family Residential,Gresham,OR,97080.0,439500.0,3.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2120.0,5227.0,2013.0,1.0,207.0,0.0,Active,RMLS,18588520,45.50253733341345,-122.37625106658656,"{'spatialReference': {'wkid': 4326}, 'x': -122.37625106658656, 'y': 45.50253733341345}"
3386,MLS Listing,Single Family Residential,Gresham,OR,97080.0,679900.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",3098.0,10890.0,2008.0,1.0,219.0,67.0,Active,RMLS,18421975,45.49111784562492,-122.40237815437509,"{'spatialReference': {'wkid': 4326}, 'x': -122.40237815437509, 'y': 45.49111784562492}"
3391,MLS Listing,Single Family Residential,Gresham,OR,97080.0,359000.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2013.0,4791.0,2001.0,2.0,178.0,0.0,Active,RMLS,18328827,45.4736977101141,-122.40861498988588,"{'spatialReference': {'wkid': 4326}, 'x': -122.40861498988588, 'y': 45.4736977101141}"
3396,MLS Listing,Single Family Residential,Gresham,OR,97080.0,519900.0,4.0,3.5,"Gresham, Sandy, Troutdale, Corbett",3180.0,6969.0,2018.0,4.0,163.0,0.0,Active,RMLS,18683443,45.46810591125417,-122.46159408874584,"{'spatialReference': {'wkid': 4326}, 'x': -122.46159408874584, 'y': 45.46810591125417}"
3421,MLS Listing,Single Family Residential,Gresham,OR,97080.0,489900.0,5.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2889.0,6969.0,2018.0,11.0,170.0,0.0,Active,RMLS,18171061,45.46743369014398,-122.46226630985602,"{'spatialReference': {'wkid': 4326}, 'x': -122.46226630985602, 'y': 45.46743369014398}"
3422,MLS Listing,Single Family Residential,Gresham,OR,97080.0,459900.0,4.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2448.0,6969.0,2018.0,11.0,188.0,0.0,Active,RMLS,18034056,45.46656581528596,-122.46313418471404,"{'spatialReference': {'wkid': 4326}, 'x': -122.46313418471404, 'y': 45.46656581528596}"
3425,MLS Listing,Single Family Residential,Gresham,OR,97080.0,475150.0,3.0,2.0,"Gresham, Sandy, Troutdale, Corbett",2557.0,6969.0,2018.0,13.0,186.0,0.0,Active,RMLS,18427656,45.49750548761634,-122.43219451238366,"{'spatialReference': {'wkid': 4326}, 'x': -122.43219451238366, 'y': 45.49750548761634}"
3428,MLS Listing,Single Family Residential,Gresham,OR,97080.0,669934.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2527.0,43560.0,2018.0,13.0,265.0,0.0,Active,RMLS,18251129,45.47422865631388,-122.36173734368612,"{'spatialReference': {'wkid': 4326}, 'x': -122.36173734368612, 'y': 45.47422865631388}"
3432,MLS Listing,Single Family Residential,Gresham,OR,97080.0,475000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2846.0,5662.0,2014.0,14.0,167.0,34.0,Active,RMLS,18611981,45.503945001770695,-122.42663779822932,"{'spatialReference': {'wkid': 4326}, 'x': -122.42663779822932, 'y': 45.503945001770695}"
3436,MLS Listing,Single Family Residential,Gresham,OR,97080.0,366900.0,4.0,2.5,KELLY CREEK ESTATES,2058.0,4791.0,2001.0,16.0,178.0,12.0,Active,RMLS,18430420,45.48034087639401,-122.384458723606,"{'spatialReference': {'wkid': 4326}, 'x': -122.384458723606, 'y': 45.48034087639401}"
3438,MLS Listing,Single Family Residential,Gresham,OR,97030.0,389000.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2200.0,3049.0,2008.0,16.0,177.0,0.0,Active,RMLS,18407305,45.519680644716495,-122.44441805528352,"{'spatialReference': {'wkid': 4326}, 'x': -122.44441805528352, 'y': 45.519680644716495}"
3439,MLS Listing,Single Family Residential,Gresham,OR,97080.0,499900.0,4.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2811.0,5227.0,2017.0,16.0,178.0,25.0,Active,RMLS,18396804,45.48647428474983,-122.45879721525016,"{'spatialReference': {'wkid': 4326}, 'x': -122.45879721525016, 'y': 45.48647428474983}"
3442,MLS Listing,Single Family Residential,Gresham,OR,97080.0,669833.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2800.0,9583.0,2018.0,19.0,239.0,0.0,Active,RMLS,18003220,45.48210499900747,-122.40520500099252,"{'spatialReference': {'wkid': 4326}, 'x': -122.40520500099252, 'y': 45.48210499900747}"
3443,MLS Listing,Single Family Residential,Gresham,OR,97080.0,627000.0,4.0,2.5,Hilltop View Estates,2384.0,9147.0,2018.0,19.0,263.0,0.0,Active,RMLS,18043220,45.44949402747728,-122.43821497252272,"{'spatialReference': {'wkid': 4326}, 'x': -122.43821497252272, 'y': 45.44949402747728}"
3447,MLS Listing,Multi-Family (2-4 Unit),Gresham,OR,97030.0,649900.0,8.0,7.0,RED SUNSET PARK,3648.0,6969.0,2014.0,21.0,178.0,0.0,Active,RMLS,18126322,45.51788272652244,-122.40880037347758,"{'spatialReference': {'wkid': 4326}, 'x': -122.40880037347758, 'y': 45.51788272652244}"
3448,MLS Listing,Single Family Residential,Gresham,OR,97080.0,425000.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2500.0,5662.0,2009.0,21.0,170.0,0.0,Active,RMLS,18561064,45.48168798050703,-122.42319011949296,"{'spatialReference': {'wkid': 4326}, 'x': -122.42319011949296, 'y': 45.48168798050703}"
3449,MLS Listing,Single Family Residential,Gresham,OR,97080.0,364500.0,3.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2064.0,3484.0,2004.0,21.0,177.0,0.0,Active,RMLS,18053995,45.46058140370591,-122.46493079629408,"{'spatialReference': {'wkid': 4326}, 'x': -122.46493079629408, 'y': 45.46058140370591}"
3460,MLS Listing,Single Family Residential,Fairview,OR,97024.0,474900.0,4.0,2.5,BLUE HERON SHORES 02,2164.0,7840.0,2000.0,27.0,219.0,30.0,Active,RMLS,18413031,45.56076160056303,-122.44137989943697,"{'spatialReference': {'wkid': 4326}, 'x': -122.44137989943697, 'y': 45.56076160056303}"
3463,MLS Listing,Single Family Residential,Gresham,OR,97080.0,419900.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2327.0,6969.0,2018.0,28.0,180.0,0.0,Active,RMLS,18186050,45.48074568464144,-122.38346181535854,"{'spatialReference': {'wkid': 4326}, 'x': -122.38346181535854, 'y': 45.48074568464144}"
3468,MLS Listing,Single Family Residential,Gresham,OR,97080.0,379950.0,4.0,2.5,Portland Southeast,2053.0,5227.0,2006.0,29.0,185.0,0.0,Active,RMLS,18372039,45.48596686436105,-122.44261783563896,"{'spatialReference': {'wkid': 4326}, 'x': -122.44261783563896, 'y': 45.48596686436105}"
3483,MLS Listing,Single Family Residential,Gresham,OR,97080.0,399900.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2021.0,6969.0,2018.0,34.0,198.0,0.0,Active,RMLS,18496459,45.49769896289552,-122.3650100371045,"{'spatialReference': {'wkid': 4326}, 'x': -122.3650100371045, 'y': 45.49769896289552}"
3485,MLS Listing,Single Family Residential,Gresham,OR,97080.0,399900.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2023.0,6969.0,2018.0,34.0,198.0,0.0,Active,RMLS,18456842,45.522631827188704,-122.33984097281127,"{'spatialReference': {'wkid': 4326}, 'x': -122.33984097281127, 'y': 45.522631827188704}"
3497,MLS Listing,Single Family Residential,Gresham,OR,97080.0,699934.0,4.0,3.5,"Gresham, Sandy, Troutdale, Corbett",2672.0,57499.0,2018.0,37.0,262.0,0.0,Active,RMLS,18344814,45.50209667563264,-122.33625032436736,"{'spatialReference': {'wkid': 4326}, 'x': -122.33625032436736, 'y': 45.50209667563264}"
3501,MLS Listing,Single Family Residential,Gresham,OR,97080.0,671500.0,4.0,2.5,Hilltop View Estates at Persim,2453.0,10018.0,2018.0,39.0,274.0,0.0,Active,RMLS,18070961,45.4958811076002,-122.4273987923998,"{'spatialReference': {'wkid': 4326}, 'x': -122.4273987923998, 'y': 45.4958811076002}"
3502,MLS Listing,Single Family Residential,Gresham,OR,97080.0,501400.0,4.0,3.0,Homestead @ Brookside,2801.0,6969.0,2018.0,40.0,179.0,0.0,Active,RMLS,18545517,45.45122005291048,-122.47847994708953,"{'spatialReference': {'wkid': 4326}, 'x': -122.47847994708953, 'y': 45.45122005291048}"
3503,MLS Listing,Single Family Residential,Gresham,OR,97080.0,665500.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2453.0,10018.0,2018.0,40.0,271.0,0.0,Active,RMLS,18089153,45.48090303146184,-122.40578496853816,"{'spatialReference': {'wkid': 4326}, 'x': -122.40578496853816, 'y': 45.48090303146184}"
3508,MLS Listing,Single Family Residential,Gresham,OR,97080.0,649900.0,4.0,2.5,CEDAR LAKE,3671.0,13068.0,2002.0,41.0,177.0,29.0,Active,RMLS,18472667,45.49063039441874,-122.40512590558129,"{'spatialReference': {'wkid': 4326}, 'x': -122.40512590558129, 'y': 45.49063039441874}"
3510,MLS Listing,Single Family Residential,Gresham,OR,97080.0,464000.0,4.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2523.0,6969.0,2004.0,42.0,184.0,0.0,Active,RMLS,18041807,45.49300073048423,-122.38887486951576,"{'spatialReference': {'wkid': 4326}, 'x': -122.38887486951576, 'y': 45.49300073048423}"
3517,MLS Listing,Single Family Residential,Gresham,OR,97080.0,479500.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2851.0,6969.0,2000.0,45.0,168.0,0.0,Active,RMLS,18599599,45.49932366308391,-122.36940923691608,"{'spatialReference': {'wkid': 4326}, 'x': -122.36940923691608, 'y': 45.49932366308391}"
3519,MLS Listing,Single Family Residential,Gresham,OR,97080.0,449900.0,5.0,2.5,Willow Hills,2771.0,6098.0,2003.0,48.0,162.0,0.0,Active,RMLS,18206648,45.49221472820253,-122.43103787179746,"{'spatialReference': {'wkid': 4326}, 'x': -122.43103787179746, 'y': 45.49221472820253}"
3529,MLS Listing,Single Family Residential,Gresham,OR,97080.0,450000.0,4.0,3.5,GRESHAM - SOUTHWEST,3751.0,15245.0,2007.0,55.0,120.0,0.0,Active,RMLS,18027309,45.48625412854718,-122.4712874714528,"{'spatialReference': {'wkid': 4326}, 'x': -122.4712874714528, 'y': 45.48625412854718}"
3535,MLS Listing,Single Family Residential,Gresham,OR,97080.0,387000.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2426.0,4791.0,2002.0,57.0,160.0,12.0,Active,RMLS,18498791,45.49082400298309,-122.37422059701692,"{'spatialReference': {'wkid': 4326}, 'x': -122.37422059701692, 'y': 45.49082400298309}"
3537,MLS Listing,Single Family Residential,Gresham,OR,97080.0,599900.0,3.0,3.5,Persimmon 05,3469.0,9583.0,2005.0,62.0,173.0,67.0,Active,RMLS,18296852,45.50313213692136,-122.39124526307864,"{'spatialReference': {'wkid': 4326}, 'x': -122.39124526307864, 'y': 45.50313213692136}"
3539,MLS Listing,Single Family Residential,Gresham,OR,97080.0,625000.0,4.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2970.0,10018.0,2018.0,63.0,210.0,0.0,Active,RMLS,18309208,45.47808755661968,-122.40819544338032,"{'spatialReference': {'wkid': 4326}, 'x': -122.40819544338032, 'y': 45.47808755661968}"
3544,MLS Listing,Single Family Residential,Gresham,OR,97080.0,490000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2387.0,6969.0,2018.0,65.0,205.0,0.0,Active,RMLS,18220910,45.50465915241868,-122.42784134758134,"{'spatialReference': {'wkid': 4326}, 'x': -122.42784134758134, 'y': 45.50465915241868}"
3545,MLS Listing,Single Family Residential,Gresham,OR,97080.0,480000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2406.0,6969.0,2018.0,65.0,200.0,0.0,Active,RMLS,18370645,45.48400203340142,-122.4484984665986,"{'spatialReference': {'wkid': 4326}, 'x': -122.4484984665986, 'y': 45.48400203340142}"
3546,MLS Listing,Single Family Residential,Gresham,OR,97080.0,485000.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2237.0,6969.0,2018.0,65.0,217.0,0.0,Active,RMLS,18161028,45.48380589265924,-122.44869460734076,"{'spatialReference': {'wkid': 4326}, 'x': -122.44869460734076, 'y': 45.48380589265924}"
3547,MLS Listing,Single Family Residential,Gresham,OR,97080.0,495000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2580.0,6969.0,2018.0,65.0,192.0,0.0,Active,RMLS,18043776,45.5154216231587,-122.41707887684132,"{'spatialReference': {'wkid': 4326}, 'x': -122.41707887684132, 'y': 45.5154216231587}"
3548,MLS Listing,Single Family Residential,Gresham,OR,97080.0,495000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2580.0,6969.0,2018.0,65.0,192.0,0.0,Active,RMLS,18007267,45.49901523647852,-122.43348526352148,"{'spatialReference': {'wkid': 4326}, 'x': -122.43348526352148, 'y': 45.49901523647852}"
3549,MLS Listing,Single Family Residential,Gresham,OR,97080.0,480000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2396.0,6969.0,2018.0,65.0,200.0,0.0,Active,RMLS,18334430,45.48533470539209,-122.44716579460793,"{'spatialReference': {'wkid': 4326}, 'x': -122.44716579460793, 'y': 45.48533470539209}"
3550,MLS Listing,Single Family Residential,Gresham,OR,97080.0,490000.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2577.0,6969.0,2018.0,65.0,190.0,0.0,Active,RMLS,18639725,45.4612160446004,-122.4712844553996,"{'spatialReference': {'wkid': 4326}, 'x': -122.4712844553996, 'y': 45.4612160446004}"
3551,MLS Listing,Single Family Residential,Gresham,OR,97080.0,490000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2387.0,6969.0,2018.0,65.0,205.0,0.0,Active,RMLS,18476873,45.49194887305931,-122.4405516269407,"{'spatialReference': {'wkid': 4326}, 'x': -122.4405516269407, 'y': 45.49194887305931}"
3552,MLS Listing,Single Family Residential,Gresham,OR,97080.0,485000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2430.0,6969.0,2018.0,65.0,200.0,0.0,Active,RMLS,18620161,45.48679672528017,-122.44570377471985,"{'spatialReference': {'wkid': 4326}, 'x': -122.44570377471985, 'y': 45.48679672528017}"
3553,MLS Listing,Single Family Residential,Gresham,OR,97080.0,495000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2580.0,6969.0,2018.0,65.0,192.0,0.0,Active,RMLS,18280624,45.48022677796207,-122.45227372203794,"{'spatialReference': {'wkid': 4326}, 'x': -122.45227372203794, 'y': 45.48022677796207}"
3554,MLS Listing,Single Family Residential,Gresham,OR,97080.0,490000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2387.0,6969.0,2018.0,65.0,205.0,0.0,Active,RMLS,18439556,45.47116698766916,-122.46133351233084,"{'spatialReference': {'wkid': 4326}, 'x': -122.46133351233084, 'y': 45.47116698766916}"
3555,MLS Listing,Single Family Residential,Gresham,OR,97080.0,485000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2430.0,6969.0,2018.0,65.0,200.0,0.0,Active,RMLS,18186450,45.47044530288875,-122.45598169711126,"{'spatialReference': {'wkid': 4326}, 'x': -122.45598169711126, 'y': 45.47044530288875}"
3556,MLS Listing,Single Family Residential,Gresham,OR,97080.0,490000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2577.0,6969.0,2018.0,65.0,190.0,0.0,Active,RMLS,18359555,45.49791169640984,-122.43458880359016,"{'spatialReference': {'wkid': 4326}, 'x': -122.43458880359016, 'y': 45.49791169640984}"
3557,MLS Listing,Single Family Residential,Gresham,OR,97080.0,485000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2430.0,6969.0,2018.0,65.0,200.0,0.0,Active,RMLS,18695406,45.494330758676895,-122.43816974132312,"{'spatialReference': {'wkid': 4326}, 'x': -122.43816974132312, 'y': 45.494330758676895}"
3564,MLS Listing,Single Family Residential,Gresham,OR,97080.0,479900.0,4.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2582.0,6534.0,2016.0,69.0,186.0,43.0,Active,RMLS,18175562,45.47720981801163,-122.42850858198835,"{'spatialReference': {'wkid': 4326}, 'x': -122.42850858198835, 'y': 45.47720981801163}"
3569,MLS Listing,Single Family Residential,Gresham,OR,97080.0,465000.0,4.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2447.0,6534.0,2016.0,74.0,190.0,0.0,Active,RMLS,18074557,45.47052196614552,-122.45656873385448,"{'spatialReference': {'wkid': 4326}, 'x': -122.45656873385448, 'y': 45.47052196614552}"
3573,MLS Listing,Single Family Residential,Gresham,OR,97080.0,569900.0,3.0,2.5,Persimmon,3146.0,13068.0,2000.0,79.0,181.0,67.0,Active,RMLS,18679919,45.48831842733731,-122.4125307726627,"{'spatialReference': {'wkid': 4326}, 'x': -122.4125307726627, 'y': 45.48831842733731}"
3589,MLS Listing,Single Family Residential,Gresham,OR,97080.0,599990.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",3028.0,5227.0,2016.0,111.0,198.0,34.0,Active,RMLS,18355910,45.493319369599526,-122.43807123040048,"{'spatialReference': {'wkid': 4326}, 'x': -122.43807123040048, 'y': 45.493319369599526}"
3594,MLS Listing,Single Family Residential,Gresham,OR,97080.0,459000.0,3.0,2.0,GRESHAM BUTTE,2852.0,9147.0,2003.0,126.0,161.0,29.0,Active,RMLS,18474192,45.48184240350925,-122.41246909649075,"{'spatialReference': {'wkid': 4326}, 'x': -122.41246909649075, 'y': 45.48184240350925}"
3611,MLS Listing,Single Family Residential,Gresham,OR,97080.0,499900.0,5.0,3.0,"Gresham, Sandy, Troutdale, Corbett",2979.0,6098.0,2015.0,192.0,168.0,35.0,Active,RMLS,18672376,45.4933987207339,-122.43483267926612,"{'spatialReference': {'wkid': 4326}, 'x': -122.43483267926612, 'y': 45.4933987207339}"
3612,MLS Listing,Single Family Residential,Gresham,OR,97080.0,429000.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2021.0,6969.0,2018.0,195.0,212.0,0.0,Active,RMLS,18510796,45.48169878704469,-122.38086281295531,"{'spatialReference': {'wkid': 4326}, 'x': -122.38086281295531, 'y': 45.48169878704469}"
3613,MLS Listing,Single Family Residential,Gresham,OR,97080.0,495000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2580.0,6969.0,2018.0,195.0,192.0,0.0,Active,RMLS,18247970,45.47004587237456,-122.46245462762543,"{'spatialReference': {'wkid': 4326}, 'x': -122.46245462762543, 'y': 45.47004587237456}"
3614,MLS Listing,Single Family Residential,Gresham,OR,97080.0,480000.0,3.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2396.0,6969.0,2018.0,195.0,200.0,0.0,Active,RMLS,18538109,45.47799027485935,-122.45451022514064,"{'spatialReference': {'wkid': 4326}, 'x': -122.45451022514064, 'y': 45.47799027485935}"
3615,MLS Listing,Single Family Residential,Gresham,OR,97080.0,490000.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2577.0,6969.0,2018.0,195.0,190.0,0.0,Active,RMLS,18570032,45.464836019305366,-122.46766448069464,"{'spatialReference': {'wkid': 4326}, 'x': -122.46766448069464, 'y': 45.464836019305366}"
3617,MLS Listing,Single Family Residential,Gresham,OR,97080.0,644500.0,4.0,4.0,DEER GLEN,3953.0,8276.0,2007.0,200.0,163.0,40.0,Active,RMLS,18584969,45.50910503905352,-122.3960330609465,"{'spatialReference': {'wkid': 4326}, 'x': -122.3960330609465, 'y': 45.50910503905352}"
3618,MLS Listing,Single Family Residential,Gresham,OR,97080.0,419000.0,4.0,2.5,Samson Acres,2021.0,6969.0,2018.0,231.0,207.0,0.0,Active,RMLS,18427782,45.49110663227081,-122.3714549677292,"{'spatialReference': {'wkid': 4326}, 'x': -122.3714549677292, 'y': 45.49110663227081}"
3620,MLS Listing,Single Family Residential,Gresham,OR,97080.0,499899.0,4.0,2.5,"Gresham, Sandy, Troutdale, Corbett",2364.0,7405.0,2017.0,346.0,211.0,0.0,Active,RMLS,17071766,45.49067181979249,-122.44297088020753,"{'spatialReference': {'wkid': 4326}, 'x': -122.44297088020753, 'y': 45.49067181979249}"
3622,New Construction Home,Single Family Residential,Gresham,OR,97080.0,489900.0,5.0,3.0,Homestead at Brookside,2892.0,6969.0,2018.0,1.0,169.0,0.0,Active,NewHomeSource.com,1516761,45.48505852523843,-122.4401414747616,"{'spatialReference': {'wkid': 4326}, 'x': -122.4401414747616, 'y': 45.48505852523843}"
3623,New Construction Home,Single Family Residential,Gresham,OR,97080.0,519900.0,4.0,3.5,Homestead at Brookside,3180.0,6969.0,2018.0,1.0,163.0,0.0,Active,NewHomeSource.com,1516762,45.4759108826165,-122.44928911738351,"{'spatialReference': {'wkid': 4326}, 'x': -122.44928911738351, 'y': 45.4759108826165}"
