,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
2317,MLS Listing,Single Family Residential,Portland,OR,97206.0,649900.0,3.0,3.0,SOUTH TABOR,2150.0,6969.0,2018.0,77.0,302.0,0.0,Active,RMLS,18681920,45.52079373082385,-122.56404706917614,"{'spatialReference': {'wkid': 4326}, 'x': -122.56404706917614, 'y': 45.52079373082385}"
2318,MLS Listing,Single Family Residential,Portland,OR,97213.0,649900.0,3.0,2.5,NORTH TABOR,2105.0,3049.0,2018.0,190.0,309.0,0.0,Active,RMLS,18123789,45.54132256172398,-122.59264943827604,"{'spatialReference': {'wkid': 4326}, 'x': -122.59264943827604, 'y': 45.54132256172398}"
2320,MLS Listing,Single Family Residential,Portland,OR,97206.0,649900.0,4.0,3.0,Portland Southeast,2955.0,4356.0,2018.0,23.0,220.0,0.0,Active,RMLS,18080838,45.47290594740671,-122.60158705259327,"{'spatialReference': {'wkid': 4326}, 'x': -122.60158705259327, 'y': 45.47290594740671}"
2321,MLS Listing,Single Family Residential,Portland,OR,97206.0,649900.0,3.0,3.0,SOUTH TABOR,2150.0,6969.0,2018.0,77.0,302.0,0.0,Active,RMLS,18551307,45.50948195666295,-122.57525564333709,"{'spatialReference': {'wkid': 4326}, 'x': -122.57525564333709, 'y': 45.50948195666295}"
2325,MLS Listing,Single Family Residential,Portland,OR,97206.0,649900.0,3.0,2.5,BRENTWOOD - DARLINGTON,2246.0,6969.0,2018.0,14.0,289.0,0.0,Active,RMLS,18142190,45.47203669139315,-122.61201370860684,"{'spatialReference': {'wkid': 4326}, 'x': -122.61201370860684, 'y': 45.47203669139315}"
2327,MLS Listing,Townhouse,Portland,OR,97217.0,649900.0,3.0,3.5,HUMBOLDT,2274.0,2613.0,2014.0,7.0,286.0,0.0,Active,RMLS,18333327,45.58739978915539,-122.6532702108446,"{'spatialReference': {'wkid': 4326}, 'x': -122.6532702108446, 'y': 45.58739978915539}"
2328,MLS Listing,Single Family Residential,Portland,OR,97229.0,649900.0,4.0,2.5,NW Washington Co or Sauvie Island,2942.0,8712.0,2001.0,21.0,221.0,25.0,Active,RMLS,18389440,45.561648716855046,-122.80065368314496,"{'spatialReference': {'wkid': 4326}, 'x': -122.80065368314496, 'y': 45.561648716855046}"
2329,MLS Listing,Single Family Residential,Portland,OR,97229.0,649900.0,4.0,2.5,THOMPSON WOODS - ARBOR,2518.0,4791.0,2018.0,78.0,258.0,83.0,Active,RMLS,18232692,45.55565806118187,-122.79873563881812,"{'spatialReference': {'wkid': 4326}, 'x': -122.79873563881812, 'y': 45.55565806118187}"
2330,MLS Listing,Single Family Residential,Portland,OR,97229.0,649900.0,4.0,3.5,Cedar Mills / Jordan Park,3227.0,5227.0,2000.0,125.0,201.0,0.0,Active,RMLS,18147756,45.54128042675728,-122.77469517324272,"{'spatialReference': {'wkid': 4326}, 'x': -122.77469517324272, 'y': 45.54128042675728}"
2333,MLS Listing,Single Family Residential,Portland,OR,97211.0,649950.0,4.0,3.0,Woodlawn/Dekum Triangle,2430.0,4791.0,2018.0,13.0,267.0,0.0,Active,RMLS,18439349,45.57063926613587,-122.66194533386414,"{'spatialReference': {'wkid': 4326}, 'x': -122.66194533386414, 'y': 45.57063926613587}"
2334,MLS Listing,Single Family Residential,Portland,OR,97211.0,649950.0,4.0,3.0,Portland Northeast,2430.0,4791.0,2018.0,6.0,267.0,0.0,Active,RMLS,18319633,45.56938991892227,-122.66302488107772,"{'spatialReference': {'wkid': 4326}, 'x': -122.66302488107772, 'y': 45.56938991892227}"
2335,MLS Listing,Single Family Residential,Tigard,OR,97223.0,649999.0,5.0,3.0,Ventura Estates,3239.0,6098.0,2002.0,42.0,201.0,0.0,Active,RMLS,18400923,45.43841729261651,-122.75679530738348,"{'spatialReference': {'wkid': 4326}, 'x': -122.75679530738348, 'y': 45.43841729261651}"
2345,MLS Listing,Single Family Residential,Portland,OR,97236.0,650000.0,4.0,2.5,Portland Southeast,3082.0,10454.0,2015.0,36.0,211.0,0.0,Active,RMLS,18108336,45.48251978672599,-122.49404561327404,"{'spatialReference': {'wkid': 4326}, 'x': -122.49404561327404, 'y': 45.48251978672599}"
2362,MLS Listing,Single Family Residential,Portland,OR,97229.0,659900.0,4.0,2.5,Thompson Woods- Arbor,2518.0,3920.0,2018.0,109.0,262.0,83.0,Active,RMLS,18270738,45.559802124299495,-122.79459157570052,"{'spatialReference': {'wkid': 4326}, 'x': -122.79459157570052, 'y': 45.559802124299495}"
2363,MLS Listing,Single Family Residential,Portland,OR,97206.0,659900.0,4.0,2.5,Portland Southeast,2493.0,6969.0,2018.0,22.0,265.0,0.0,Active,RMLS,18045246,45.49404999679654,-122.59075420320346,"{'spatialReference': {'wkid': 4326}, 'x': -122.59075420320346, 'y': 45.49404999679654}"
2367,MLS Listing,Single Family Residential,Portland,OR,97229.0,664995.0,4.0,3.5,Grace Hollow II at Abbey Creek,2949.0,6969.0,2018.0,98.0,225.0,74.0,Active,RMLS,18158354,45.53652443233423,-122.78197990116176,"{'spatialReference': {'wkid': 4326}, 'x': -122.78197990116176, 'y': 45.53652443233423}"
2369,MLS Listing,Single Family Residential,Portland,OR,97229.0,665000.0,4.0,2.5,CEDAR MILL,3499.0,7405.0,2005.0,28.0,190.0,0.0,Active,RMLS,18225617,45.528854153879095,-122.76654384612092,"{'spatialReference': {'wkid': 4326}, 'x': -122.76654384612092, 'y': 45.528854153879095}"
2372,MLS Listing,Single Family Residential,Portland,OR,97215.0,665000.0,3.0,2.5,Portland Southeast,2200.0,4356.0,2017.0,300.0,302.0,0.0,Active,RMLS,17626574,45.53808546702284,-122.57827723297716,"{'spatialReference': {'wkid': 4326}, 'x': -122.57827723297716, 'y': 45.53808546702284}"
2373,MLS Listing,Single Family Residential,Portland,OR,97229.0,665900.0,5.0,2.5,BANNISTER HEIGHTS,3461.0,4791.0,2004.0,34.0,192.0,23.0,Active,RMLS,18285532,45.58373588194702,-122.78038971805296,"{'spatialReference': {'wkid': 4326}, 'x': -122.78038971805296, 'y': 45.58373588194702}"
2375,MLS Listing,Single Family Residential,Portland,OR,97229.0,669000.0,5.0,3.5,FOREST HEIGHTS,3570.0,10890.0,2006.0,171.0,187.0,49.0,Active,RMLS,18256758,45.57130035909725,-122.73455464090274,"{'spatialReference': {'wkid': 4326}, 'x': -122.73455464090274, 'y': 45.57130035909725}"
