,SALE TYPE,PROPERTY TYPE,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,SOURCE,MLS,LATITUDE,LONGITUDE
877,MLS Listing,Single Family Residential,Portland,OR,97216.0,345000.0,3.0,1.5,Portland Southeast,2032.0,8276.0,1937.0,14.0,170.0,0.0,Active,RMLS,18523693,45.54538407900938,-122.5200129209906
878,MLS Listing,Single Family Residential,Portland,OR,97203.0,345000.0,3.0,2.5,Portland North,1418.0,2613.0,1998.0,8.0,243.0,0.0,Active,RMLS,18418934,45.619148673330905,-122.70775002666907
879,MLS Listing,Single Family Residential,Portland,OR,97203.0,345000.0,3.0,2.5,Portland North,1410.0,2613.0,2004.0,56.0,245.0,0.0,Active,RMLS,18023974,45.61107440473,-122.72039909526998
880,MLS Listing,Townhouse,Portland,OR,97219.0,345000.0,3.0,3.0,"Portland West, Raleigh Hills",1715.0,1306.0,2009.0,45.0,201.0,0.0,Active,RMLS,18277250,45.46225649082686,-122.71547140917316
881,MLS Listing,Single Family Residential,Portland,OR,97219.0,345000.0,3.0,1.0,PORTLAND HEIGHTS,960.0,4791.0,1971.0,16.0,359.0,0.0,Active,RMLS,18637439,45.48504993437612,-122.66806626562386
882,MLS Listing,Single Family Residential,Portland,OR,97233.0,345500.0,4.0,2.5,Portland Southeast,1413.0,4791.0,2000.0,147.0,245.0,0.0,Active,RMLS,18499724,45.51033478438091,-122.47999931561908
883,MLS Listing,Single Family Residential,Portland,OR,97206.0,346000.0,4.0,3.0,Portland Southeast,1674.0,3049.0,2006.0,21.0,207.0,0.0,Active,RMLS,18061163,45.45488630695113,-122.59029129304884
884,MLS Listing,Single Family Residential,Portland,OR,97230.0,346500.0,3.0,2.0,Portland Northeast,1566.0,5227.0,1994.0,98.0,221.0,0.0,Active,RMLS,18131619,45.53695427359921,-122.5220062264008
885,MLS Listing,Single Family Residential,Portland,OR,97206.0,347000.0,3.0,1.0,Portland Southeast,972.0,5227.0,1924.0,2.0,357.0,0.0,Active,RMLS,18040085,45.47691014942921,-122.5734886505708
886,MLS Listing,Townhouse,Portland,OR,97229.0,347900.0,2.0,2.5,"Portland West, Raleigh Hills",1491.0,2178.0,1995.0,12.0,233.0,542.0,Active,RMLS,18275293,45.53725148075119,-122.7827841192488
887,MLS Listing,Single Family Residential,Portland,OR,97213.0,348500.0,2.0,1.0,MONTAVILLA,1278.0,4791.0,1926.0,53.0,273.0,0.0,Active,RMLS,18066693,45.57395273516049,-122.53771326483952
888,MLS Listing,Single Family Residential,Portland,OR,97230.0,348888.0,6.0,2.0,Clifgate beighborhood,2043.0,8712.0,1957.0,42.0,171.0,0.0,Active,RMLS,18476127,45.54666377836202,-122.52035082163796
889,MLS Listing,Single Family Residential,Portland,OR,97206.0,349000.0,3.0,1.0,Portland Southeast,1044.0,13939.0,1925.0,49.0,334.0,0.0,Active,RMLS,18146052,45.46765942679107,-122.60877797320892
890,MLS Listing,Single Family Residential,Portland,OR,97206.0,349000.0,2.0,1.0,MT SCOTT/ARLETA/WOODSTOCK,726.0,4791.0,1951.0,10.0,481.0,0.0,Active,RMLS,18180450,45.5006024378912,-122.5815793621088
891,MLS Listing,Condo/Co-op,Portland,OR,97206.0,349000.0,2.0,1.5,FOSTER-POWELL,900.0,6969.0,2018.0,1.0,388.0,13.0,Active,RMLS,18185479,45.49362072202352,-122.59980767797649
892,MLS Listing,Condo/Co-op,Portland,OR,97209.0,349000.0,1.0,1.0,"Portland West, Raleigh Hills",692.0,6969.0,2004.0,3.0,504.0,321.0,Active,RMLS,18625498,45.5408115158942,-122.6710087841058
893,MLS Listing,Single Family Residential,Milwaukie,OR,97222.0,349000.0,3.0,1.0,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1224.0,8712.0,1965.0,1.0,285.0,0.0,Active,RMLS,18694866,45.45072404741091,-122.6112540525891
894,For-Sale-by-Owner Listing,Single Family Residential,Portland,OR,97230.0,349000.0,3.0,2.0,Portland,1135.0,9600.0,1963.0,15.0,307.0,0.0,Active,Fizber.com,4978162,45.5251036404605,-122.5188660595395
895,MLS Listing,Single Family Residential,Portland,OR,97211.0,349000.0,3.0,2.0,Portland Northeast,1697.0,4791.0,1910.0,43.0,206.0,0.0,Active,RMLS,18495871,45.58180446713705,-122.61582073286296
